awaiting_async_process,vars,id,creation_time,failed,failed_reason,time_of_death,type,max_size,full,role,n_pending_infos,n_completed_infos,n_failed_infos,n_alive_nodes,n_failed_nodes,trial_maker_id,module_id,target_n_trials,participant_group,participant_id,id_within_participant,n_all_trials,n_alive_trials,n_failed_trials,n_completed_trials,n_all_nodes,chain_type,head_id,trials_per_node,definition,block,ready_to_spawn,n_viable_trials_at_head,head_is_awaiting_async_process,class,object_type
False,{},1,2023-11-29 16:20:45,False,,,StaticNetwork,1,False,default,0,13,3,1,0,antiphase_headphone_test,antiphase_headphone_test,1000000,default,,,16,13,3,13,1,across,1,1000000,{},default,False,13,False,StaticNetwork,Network
False,{},2,2023-11-29 16:20:45,False,,,StaticNetwork,1,False,default,0,13,3,1,0,antiphase_headphone_test,antiphase_headphone_test,1000000,default,,,16,13,3,13,1,across,2,1000000,{},default,False,13,False,StaticNetwork,Network
False,{},3,2023-11-29 16:20:45,False,,,StaticNetwork,1,False,default,0,13,3,1,0,antiphase_headphone_test,antiphase_headphone_test,1000000,default,,,16,13,3,13,1,across,3,1000000,{},default,False,13,False,StaticNetwork,Network
False,{},4,2023-11-29 16:20:45,False,,,StaticNetwork,1,False,default,0,13,3,1,0,antiphase_headphone_test,antiphase_headphone_test,1000000,default,,,16,13,3,13,1,across,4,1000000,{},default,False,13,False,StaticNetwork,Network
False,{},5,2023-11-29 16:20:45,False,,,StaticNetwork,1,False,default,0,13,3,1,0,antiphase_headphone_test,antiphase_headphone_test,1000000,default,,,16,13,3,13,1,across,5,1000000,{},default,False,13,False,StaticNetwork,Network
False,{},6,2023-11-29 16:20:45,False,,,StaticNetwork,1,False,default,0,13,3,1,0,antiphase_headphone_test,antiphase_headphone_test,1000000,default,,,16,13,3,13,1,across,6,1000000,{},default,False,13,False,StaticNetwork,Network
False,{},7,2023-11-29 16:20:45,False,,,StaticNetwork,1,False,default,0,12,1,1,0,audio_experiment,audio_experiment,1000000,default,,,13,12,1,10,1,across,7,1000000,{},default,False,10,False,StaticNetwork,Network
False,{},8,2023-11-29 16:20:45,False,,,StaticNetwork,1,False,default,0,12,0,1,0,audio_experiment,audio_experiment,1000000,default,,,12,12,0,11,1,across,8,1000000,{},default,False,11,False,StaticNetwork,Network
False,{},9,2023-11-29 16:20:45,False,,,StaticNetwork,1,False,default,0,12,0,1,0,audio_experiment,audio_experiment,1000000,default,,,12,12,0,11,1,across,9,1000000,{},default,False,11,False,StaticNetwork,Network
False,{},10,2023-11-29 16:20:45,False,,,StaticNetwork,1,False,default,0,12,1,1,0,audio_experiment,audio_experiment,1000000,default,,,13,12,1,11,1,across,10,1000000,{},default,False,11,False,StaticNetwork,Network
False,{},11,2023-11-29 16:20:45,False,,,StaticNetwork,1,False,default,0,11,0,1,0,audio_experiment,audio_experiment,1000000,default,,,11,11,0,11,1,across,11,1000000,{},default,False,11,False,StaticNetwork,Network
False,{},12,2023-11-29 16:20:45,False,,,StaticNetwork,1,False,default,0,11,0,1,0,audio_experiment,audio_experiment,1000000,default,,,11,11,0,11,1,across,12,1000000,{},default,False,11,False,StaticNetwork,Network
