awaiting_async_process,vars,id,creation_time,failed,failed_reason,time_of_death,type,network_id,participant_id,trial_maker_id,module_id,_on_create_called,_on_deploy_called,ready_for_trials,key,degree,child_id,parent_id,seed,definition,context,participant_group,block,propagate_failure,n_viable_trials,class,object_type
False,{},7,2023-11-29 16:20:45,False,,,TrialSource,7,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_014.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_014.wav""}",,default,default,False,10,StaticNode,Node
False,{},8,2023-11-29 16:20:45,False,,,TrialSource,8,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_028.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_028.wav""}",,default,default,False,11,StaticNode,Node
False,{},9,2023-11-29 16:20:45,False,,,TrialSource,9,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_038.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_038.wav""}",,default,default,False,11,StaticNode,Node
False,{},10,2023-11-29 16:20:45,False,,,TrialSource,10,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_039.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_039.wav""}",,default,default,False,11,StaticNode,Node
False,{},11,2023-11-29 16:20:45,False,,,TrialSource,11,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_075.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_075.wav""}",,default,default,False,11,StaticNode,Node
False,{},12,2023-11-29 16:20:45,False,,,TrialSource,12,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_101.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_101.wav""}",,default,default,False,11,StaticNode,Node
False,{},13,2023-11-29 16:20:45,False,,,TrialSource,13,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_114.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_114.wav""}",,default,default,False,11,StaticNode,Node
False,{},14,2023-11-29 16:20:45,False,,,TrialSource,14,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_100.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_100.wav""}",,default,default,False,10,StaticNode,Node
False,{},15,2023-11-29 16:20:45,False,,,TrialSource,15,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_074.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_074.wav""}",,default,default,False,11,StaticNode,Node
False,{},16,2023-11-29 16:20:45,False,,,TrialSource,16,,audio_experiment,audio_experiment,True,False,True,,0,,,{},"{""audio_name"": ""NHS_orig_048.wav"", ""audio_url"": ""https://manu-projects.s3.amazonaws.com/melody-preferences/NHS/original/NHS_orig_048.wav""}",,default,default,False,10,StaticNode,Node
