vars,creation_time,local_key,trial_id,asset_id,type,class,object_type
{},2023-11-29 15:44:50,stimulus,1,5,AssetTrial,AssetTrial,AssetTrial
{},2023-11-29 15:45:13,stimulus,2,3,AssetTrial,AssetTrial,AssetTrial
{},2023-11-29 15:45:18,stimulus,3,2,AssetTrial,AssetTrial,AssetTrial
{},2023-11-29 15:45:24,stimulus,4,6,AssetTrial,AssetTrial,AssetTrial
{},2023-11-29 15:45:30,stimulus,5,4,AssetTrial,AssetTrial,AssetTrial
{},2023-11-29 15:45:36,stimulus,6,1,AssetTrial,AssetTrial,AssetTrial
{},2023-11-29 15:51:49,stimulus,9,2,AssetTrial,AssetTrial,AssetTrial
{},2023-11-29 15:51:57,stimulus,10,4,AssetTrial,AssetTrial,AssetTrial
{},2023-11-29 15:52:08,stimulus,11,6,AssetTrial,AssetTrial,AssetTrial
{},2023-11-29 15:52:14,stimulus,12,1,AssetTrial,AssetTrial,AssetTrial
{},2023-11-29 15:52:19,stimulus,13,5,AssetTrial,AssetTrial,AssetTrial
{},2023-11-29 15:52:25,stimulus,14,3,AssetTrial,AssetTrial,AssetTrial
{},2023-11-29 15:53:27,stimulus,16,3,AssetTrial,AssetTrial,AssetTrial
{},2023-11-29 15:53:38,stimulus,18,1,AssetTrial,AssetTrial,AssetTrial
{},2023-11-29 15:53:46,stimulus,19,6,AssetTrial,AssetTrial,AssetTrial
{},2023-11-29 15:53:51,stimulus,20,6,AssetTrial,AssetTrial,AssetTrial
{},2023-11-29 15:53:55,stimulus,22,4,AssetTrial,AssetTrial,AssetTrial
{},2023-11-29 15:54:01,stimulus,23,4,AssetTrial,AssetTrial,AssetTrial
{},2023-11-29 15:54:02,stimulus,24,2,AssetTrial,AssetTrial,AssetTrial
{},2023-11-29 15:54:07,stimulus,25,5,AssetTrial,AssetTrial,AssetTrial
{},2023-11-29 15:54:12,stimulus,27,5,AssetTrial,AssetTrial,AssetTrial
{},2023-11-29 15:54:16,stimulus,28,2,AssetTrial,AssetTrial,AssetTrial
{},2023-11-29 15:54:21,stimulus,29,2,AssetTrial,AssetTrial,AssetTrial
{},2023-11-29 15:54:24,stimulus,30,1,AssetTrial,AssetTrial,AssetTrial
{},2023-11-29 15:54:30,stimulus,31,1,AssetTrial,AssetTrial,AssetTrial
{},2023-11-29 15:54:30,stimulus,32,3,AssetTrial,AssetTrial,AssetTrial
{},2023-11-29 15:54:37,stimulus,33,3,AssetTrial,AssetTrial,AssetTrial
{},2023-11-29 15:54:39,stimulus,34,4,AssetTrial,AssetTrial,AssetTrial
{},2023-11-29 15:54:40,stimulus,35,5,AssetTrial,AssetTrial,AssetTrial
{},2023-11-29 15:54:45,stimulus,36,6,AssetTrial,AssetTrial,AssetTrial
{},2023-11-29 15:54:47,stimulus,37,6,AssetTrial,AssetTrial,AssetTrial
{},2023-11-29 15:54:52,stimulus,38,5,AssetTrial,AssetTrial,AssetTrial
{},2023-11-29 15:54:53,stimulus,39,1,AssetTrial,AssetTrial,AssetTrial
{},2023-11-29 15:54:59,stimulus,42,3,AssetTrial,AssetTrial,AssetTrial
{},2023-11-29 15:55:06,stimulus,43,4,AssetTrial,AssetTrial,AssetTrial
{},2023-11-29 15:55:11,stimulus,44,2,AssetTrial,AssetTrial,AssetTrial
