vars,creation_time,failed,failed_reason,time_of_death,id,module_id,participant_id,time_started,time_finished,time_aborted,started,finished,aborted,type,participant_group,in_repeat_phase,performance_check,trials_to_repeat,repeat_trial_index,n_created_trials,n_completed_trials,block_order,block_position,block,participated_networks,n_participant_trials_in_trial_maker,n_participant_trials_in_block,class,object_type
{},2023-11-29 15:44:50,False,,,3,antiphase_headphone_test,1,2023-11-29 15:44:50,2023-11-29 15:45:42,,True,True,False,ChainTrialMakerState,default,False,"{""score"": 6.0, ""passed"": true}",,,6,6,"[""default""]",0,default,"[5, 3, 2, 6, 4, 1]",6,6,ChainTrialMakerState,ModuleState
{},2023-11-29 15:45:43,False,,,4,audio_experiment,1,2023-11-29 15:45:43,,,True,False,False,ChainTrialMakerState,default,False,,,,2,1,"[""default""]",0,default,[37],2,2,ChainTrialMakerState,ModuleState
{},2023-11-29 15:51:49,False,,,7,antiphase_headphone_test,2,2023-11-29 15:51:49,2023-11-29 15:52:31,,True,True,False,ChainTrialMakerState,default,False,"{""score"": 6.0, ""passed"": true}",,,6,6,"[""default""]",0,default,"[2, 4, 6, 1, 5, 3]",6,6,ChainTrialMakerState,ModuleState
{},2023-11-29 15:52:36,False,,,10,audio_experiment,2,2023-11-29 15:52:36,2023-11-29 16:13:26,,True,True,False,ChainTrialMakerState,default,True,,"[206, 238, 228]",3.0,40,43,"[""default""]",0,default,"[32, 20, 31, 30, 34, 46, 38, 26, 22, 18, 21, 17, 42, 24, 35, 12, 11, 10, 36, 43, 41, 25, 45, 23, 19, 14, 8, 13, 9, 27, 33, 28, 40, 44, 29, 39, 16, 7, 15, 37, 33, 29, 44]",43,43,ChainTrialMakerState,ModuleState
{},2023-11-29 15:53:27,False,,,14,antiphase_headphone_test,4,2023-11-29 15:53:27,,,True,False,False,ChainTrialMakerState,default,False,"{""score"": 2.0, ""passed"": false}",,,6,6,"[""default""]",0,default,"[3, 1, 6, 4, 2, 5]",6,6,ChainTrialMakerState,ModuleState
{},2023-11-29 15:53:51,False,,,16,antiphase_headphone_test,5,2023-11-29 15:53:51,2023-11-29 15:54:47,,True,True,False,ChainTrialMakerState,default,False,"{""score"": 6.0, ""passed"": true}",,,6,6,"[""default""]",0,default,"[6, 4, 5, 2, 1, 3]",6,6,ChainTrialMakerState,ModuleState
{},2023-11-29 15:54:16,False,,,18,antiphase_headphone_test,3,2023-11-29 15:54:16,2023-11-29 15:55:02,,True,True,False,ChainTrialMakerState,default,False,"{""score"": 6.0, ""passed"": true}",,,6,6,"[""default""]",0,default,"[2, 1, 3, 4, 6, 5]",6,6,ChainTrialMakerState,ModuleState
{},2023-11-29 15:54:40,False,,,20,antiphase_headphone_test,6,2023-11-29 15:54:40,2023-11-29 15:55:17,,True,True,False,ChainTrialMakerState,default,False,"{""score"": 5.0, ""passed"": true}",,,6,6,"[""default""]",0,default,"[5, 6, 1, 3, 4, 2]",6,6,ChainTrialMakerState,ModuleState
{},2023-11-29 15:54:56,False,,,21,audio_experiment,5,2023-11-29 15:54:56,,,True,False,False,ChainTrialMakerState,default,False,,,,2,1,"[""default""]",0,default,[11],2,2,ChainTrialMakerState,ModuleState
{},2023-11-29 15:55:34,False,,,22,audio_experiment,6,2023-11-29 15:55:34,2023-11-29 16:09:18,,True,True,False,ChainTrialMakerState,default,True,,"[145, 169, 199]",3.0,40,43,"[""default""]",0,default,"[10, 43, 33, 15, 19, 16, 44, 36, 40, 45, 23, 35, 29, 30, 22, 32, 8, 31, 26, 14, 17, 27, 41, 25, 9, 28, 34, 12, 42, 37, 24, 38, 20, 11, 21, 7, 18, 39, 46, 13, 25, 42, 7]",43,43,ChainTrialMakerState,ModuleState
{},2023-11-29 15:56:01,False,,,23,audio_experiment,3,2023-11-29 15:56:01,2023-11-29 16:10:03,,True,True,False,ChainTrialMakerState,default,True,,"[185, 176, 55]",3.0,40,43,"[""default""]",0,default,"[39, 25, 29, 18, 9, 14, 28, 41, 7, 40, 13, 12, 23, 35, 33, 38, 32, 42, 19, 16, 27, 46, 44, 21, 31, 20, 26, 22, 30, 37, 8, 17, 15, 11, 34, 45, 24, 43, 10, 36, 17, 37, 18]",43,43,ChainTrialMakerState,ModuleState
{},2023-11-29 15:57:26,False,,,26,antiphase_headphone_test,7,2023-11-29 15:57:26,2023-11-29 15:58:12,,True,True,False,ChainTrialMakerState,default,False,"{""score"": 6.0, ""passed"": true}",,,6,6,"[""default""]",0,default,"[1, 2, 4, 6, 5, 3]",6,6,ChainTrialMakerState,ModuleState
{},2023-11-29 15:58:16,False,,,28,audio_experiment,7,2023-11-29 15:58:16,2023-11-29 16:12:23,,True,True,False,ChainTrialMakerState,default,True,,"[112, 84, 232]",3.0,40,43,"[""default""]",0,default,"[28, 21, 40, 45, 8, 27, 24, 7, 10, 34, 15, 16, 13, 20, 43, 46, 25, 39, 29, 38, 17, 37, 36, 14, 44, 30, 23, 32, 33, 19, 31, 12, 42, 18, 41, 26, 22, 9, 35, 11, 10, 45, 18]",43,43,ChainTrialMakerState,ModuleState
{},2023-11-29 15:58:55,False,,,30,antiphase_headphone_test,8,2023-11-29 15:58:55,2023-11-29 16:00:05,,True,True,False,ChainTrialMakerState,default,False,"{""score"": 5.0, ""passed"": true}",,,6,6,"[""default""]",0,default,"[6, 1, 3, 5, 2, 4]",6,6,ChainTrialMakerState,ModuleState
{},2023-11-29 16:00:51,False,,,31,audio_experiment,8,2023-11-29 16:00:51,2023-11-29 16:13:50,,True,True,False,ChainTrialMakerState,default,True,,"[131, 175, 240]",3.0,40,43,"[""default""]",0,default,"[7, 39, 44, 15, 37, 9, 13, 43, 41, 25, 33, 29, 18, 11, 22, 36, 8, 10, 26, 16, 32, 34, 19, 35, 40, 12, 42, 20, 14, 28, 23, 31, 46, 17, 38, 27, 30, 45, 24, 21, 9, 36, 23]",43,43,ChainTrialMakerState,ModuleState
{},2023-11-29 16:11:38,False,,,38,antiphase_headphone_test,10,2023-11-29 16:11:37,2023-11-29 16:12:17,,True,True,False,ChainTrialMakerState,default,False,"{""score"": 6.0, ""passed"": true}",,,6,6,"[""default""]",0,default,"[5, 6, 2, 4, 1, 3]",6,6,ChainTrialMakerState,ModuleState
{},2023-11-29 16:12:27,False,,,39,audio_experiment,10,2023-11-29 16:12:27,2023-11-29 16:25:55,,True,True,False,ChainTrialMakerState,default,True,,"[280, 284, 291]",3.0,40,43,"[""default""]",0,default,"[24, 21, 31, 15, 32, 45, 18, 30, 9, 7, 43, 39, 19, 8, 29, 38, 17, 23, 40, 26, 20, 14, 25, 16, 44, 41, 35, 12, 36, 28, 10, 22, 33, 46, 13, 34, 42, 27, 37, 11, 18, 43, 23]",43,43,ChainTrialMakerState,ModuleState
