vars,creation_time,failed,failed_reason,time_of_death,id,module_id,participant_id,time_started,time_finished,time_aborted,started,finished,aborted,type,class,object_type
{},2023-11-29 15:42:43,False,,,1,main_consent,1,2023-11-29 15:42:43,2023-11-29 15:44:40,,True,True,False,ModuleState,ModuleState,ModuleState
{},2023-11-29 15:44:45,False,,,2,volume_calibration,1,2023-11-29 15:44:45,2023-11-29 15:44:50,,True,True,False,ModuleState,ModuleState,ModuleState
{},2023-11-29 15:51:36,False,,,5,main_consent,2,2023-11-29 15:51:36,2023-11-29 15:51:38,,True,True,False,ModuleState,ModuleState,ModuleState
{},2023-11-29 15:51:43,False,,,6,volume_calibration,2,2023-11-29 15:51:43,2023-11-29 15:51:49,,True,True,False,ModuleState,ModuleState,ModuleState
{},2023-11-29 15:52:21,False,,,8,main_consent,3,2023-11-29 15:52:21,2023-11-29 15:52:27,,True,True,False,ModuleState,ModuleState,ModuleState
{},2023-11-29 15:52:35,False,,,9,main_consent,4,2023-11-29 15:52:35,2023-11-29 15:53:10,,True,True,False,ModuleState,ModuleState,ModuleState
{},2023-11-29 15:52:39,False,,,11,main_consent,5,2023-11-29 15:52:39,2023-11-29 15:53:19,,True,True,False,ModuleState,ModuleState,ModuleState
{},2023-11-29 15:53:06,False,,,12,main_consent,6,2023-11-29 15:53:06,2023-11-29 15:54:03,,True,True,False,ModuleState,ModuleState,ModuleState
{},2023-11-29 15:53:19,False,,,13,volume_calibration,4,2023-11-29 15:53:19,2023-11-29 15:53:27,,True,True,False,ModuleState,ModuleState,ModuleState
{},2023-11-29 15:53:40,False,,,15,volume_calibration,5,2023-11-29 15:53:40,2023-11-29 15:53:51,,True,True,False,ModuleState,ModuleState,ModuleState
{},2023-11-29 15:54:06,False,,,17,volume_calibration,3,2023-11-29 15:54:06,2023-11-29 15:54:16,,True,True,False,ModuleState,ModuleState,ModuleState
{},2023-11-29 15:54:24,False,,,19,volume_calibration,6,2023-11-29 15:54:24,2023-11-29 15:54:40,,True,True,False,ModuleState,ModuleState,ModuleState
{},2023-11-29 15:56:38,False,,,24,main_consent,7,2023-11-29 15:56:38,2023-11-29 15:56:51,,True,True,False,ModuleState,ModuleState,ModuleState
{},2023-11-29 15:56:59,False,,,25,volume_calibration,7,2023-11-29 15:56:59,2023-11-29 15:57:26,,True,True,False,ModuleState,ModuleState,ModuleState
