vars,id,creation_time,failed,failed_reason,time_of_death,type,participant_id,question,answer,page_type,successful_validation,client_ip_address,metadata_,class,object_type
{},1,2023-11-29 15:44:40,False,,,Response,1,untitled,"{""main_consent"": true}",MainConsentPage,True,141.5.2.21,"{""time_taken"": 115.053, ""platform"": ""Chrome 119.0.0.0 on OS X 10.15.7 64-bit"", ""download_speed_megabits_per_sec"": 8.65, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2023-11-29T15:42:45.759Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2023-11-29T15:42:45.776Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2023-11-29T15:42:45.781Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2023-11-29T15:42:45.791Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2023-11-29T15:42:45.791Z"", ""info"": null}]}",Response,_Response
{},2,2023-11-29 15:44:43,False,,,Response,1,info,,InfoPage,True,141.5.2.21,"{""time_taken"": 2.478, ""platform"": ""Chrome 119.0.0.0 on OS X 10.15.7 64-bit"", ""download_speed_megabits_per_sec"": 8.65, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2023-11-29T15:44:41.458Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2023-11-29T15:44:41.462Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2023-11-29T15:44:41.467Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2023-11-29T15:44:41.478Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2023-11-29T15:44:41.478Z"", ""info"": null}], ""content"": {""py/object"": ""markupsafe.Markup"", ""bytes"": ""ccopy_reg\n_reconstructor\np0\n(cmarkupsafe\nMarkup\np1\nc__builtin__\nunicode\np2\nV\\u000a            <h3>Welcome!</h3>\\u000a            <hr>\\u000a            In this experiment you will be played songs and asked to rate how much you like them.\\u000a            <hr>\\u000a            \np3\ntp4\nRp5\n.""}}",Response,_Response
{},3,2023-11-29 15:44:45,False,,,Response,1,info,,InfoPage,True,141.5.2.21,"{""time_taken"": 0.778, ""platform"": ""Chrome 119.0.0.0 on OS X 10.15.7 64-bit"", ""download_speed_megabits_per_sec"": 10, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2023-11-29T15:44:44.610Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2023-11-29T15:44:44.613Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2023-11-29T15:44:44.619Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2023-11-29T15:44:44.629Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2023-11-29T15:44:44.629Z"", ""info"": null}], ""content"": {""py/object"": ""markupsafe.Markup"", ""bytes"": ""ccopy_reg\n_reconstructor\np0\n(cmarkupsafe\nMarkup\np1\nc__builtin__\nunicode\np2\nV\\u000a            <h3>Requirements</h3>\\u000a            <hr>\\u000a            <b><b>For this experiment we need you to use headphones or earplugs and a working microphone.</b></b>\\u000a            <br><br>\\u000a            If you cannot satisfy these requirements or your microphone or your headphones/earplugs do not work, please return the survey now.\\u000a            <hr>\\u000a            \np3\ntp4\nRp5\n.""}}",Response,_Response
{},4,2023-11-29 15:44:50,False,,,Response,1,volume_calibration,,ModularPage,True,141.5.2.21,"{""time_taken"": 4.531, ""platform"": ""Chrome 119.0.0.0 on OS X 10.15.7 64-bit"", ""download_speed_megabits_per_sec"": 10, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2023-11-29T15:44:46.076Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2023-11-29T15:44:47.385Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2023-11-29T15:44:47.386Z"", ""info"": null}, {""eventType"": ""promptStart"", ""localTime"": ""2023-11-29T15:44:47.396Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2023-11-29T15:44:47.397Z"", ""info"": null}, {""eventType"": ""audioFinished: prompt"", ""localTime"": ""2023-11-29T15:44:49.404Z"", ""info"": null}, {""eventType"": ""promptEnd"", ""localTime"": ""2023-11-29T15:44:49.404Z"", ""info"": null}, {""eventType"": ""trialFinish"", ""localTime"": ""2023-11-29T15:44:49.404Z"", ""info"": null}, {""eventType"": ""trialFinished"", ""localTime"": ""2023-11-29T15:44:49.405Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2023-11-29T15:44:49.405Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2023-11-29T15:44:49.416Z"", ""info"": null}, {""eventType"": ""promptStart"", ""localTime"": ""2023-11-29T15:44:49.426Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2023-11-29T15:44:49.426Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2023-11-29T15:44:49.892Z"", ""info"": null}], ""prompt"": {""text"": ""\n            <p>\n                Please listen to the following sound and adjust your\n                computer's output volume until it is at a comfortable level.\n            </p>\n            <p>\n                If you can't hear anything, there may be a problem with your\n                playback configuration or your internet connection.\n                You can refresh the page to try loading the audio again.\n            </p>\n            "", ""url"": ""https://s3.amazonaws.com/psynet-tests/static-audio/cached/volume_calibration/volume_calibration_audio/a90fa3f02d7ff22cc88bd3182954cfd2.wav"", ""play_window"": [null, null]}, ""control"": {}}",Response,_Response
{},5,2023-11-29 15:45:12,False,,,Response,1,headphone_trial,2,ModularPage,True,141.5.2.21,"{""time_taken"": 5.365, ""platform"": ""Chrome 119.0.0.0 on OS X 10.15.7 64-bit"", ""download_speed_megabits_per_sec"": 10, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2023-11-29T15:45:07.593Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2023-11-29T15:45:08.603Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2023-11-29T15:45:08.604Z"", ""info"": null}, {""eventType"": ""promptStart"", ""localTime"": ""2023-11-29T15:45:08.614Z"", ""info"": null}, {""eventType"": ""audioFinished: prompt"", ""localTime"": ""2023-11-29T15:45:12.622Z"", ""info"": null}, {""eventType"": ""promptEnd"", ""localTime"": ""2023-11-29T15:45:12.622Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2023-11-29T15:45:12.622Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2023-11-29T15:45:12.622Z"", ""info"": null}, {""eventType"": ""trialFinish"", ""localTime"": ""2023-11-29T15:45:12.622Z"", ""info"": null}, {""eventType"": ""trialFinished"", ""localTime"": ""2023-11-29T15:45:12.624Z"", ""info"": null}, {""eventType"": ""pushButtonClicked"", ""localTime"": ""2023-11-29T15:45:12.929Z"", ""info"": {""buttonId"": ""2""}}], ""prompt"": {""text"": ""Which sound was softest (quietest) -- 1, 2, or 3?"", ""url"": ""https://s3.amazonaws.com/headphone-check/antiphase/antiphase_HC_OSI.wav"", ""play_window"": [null, null]}, ""control"": {""choices"": [""1"", ""2"", ""3""], ""labels"": {""py/id"": 17}}}",Response,_Response
{},6,2023-11-29 15:45:18,False,,,Response,1,headphone_trial,1,ModularPage,True,141.5.2.21,"{""time_taken"": 5.173, ""platform"": ""Chrome 119.0.0.0 on OS X 10.15.7 64-bit"", ""download_speed_megabits_per_sec"": 10, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2023-11-29T15:45:13.696Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2023-11-29T15:45:14.629Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2023-11-29T15:45:14.630Z"", ""info"": null}, {""eventType"": ""promptStart"", ""localTime"": ""2023-11-29T15:45:14.640Z"", ""info"": null}, {""eventType"": ""audioFinished: prompt"", ""localTime"": ""2023-11-29T15:45:18.647Z"", ""info"": null}, {""eventType"": ""promptEnd"", ""localTime"": ""2023-11-29T15:45:18.647Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2023-11-29T15:45:18.647Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2023-11-29T15:45:18.648Z"", ""info"": null}, {""eventType"": ""trialFinish"", ""localTime"": ""2023-11-29T15:45:18.650Z"", ""info"": null}, {""eventType"": ""trialFinished"", ""localTime"": ""2023-11-29T15:45:18.650Z"", ""info"": null}, {""eventType"": ""pushButtonClicked"", ""localTime"": ""2023-11-29T15:45:18.839Z"", ""info"": {""buttonId"": ""1""}}], ""prompt"": {""text"": ""Which sound was softest (quietest) -- 1, 2, or 3?"", ""url"": ""https://s3.amazonaws.com/headphone-check/antiphase/antiphase_HC_SOI.wav"", ""play_window"": [null, null]}, ""control"": {""choices"": [""1"", ""2"", ""3""], ""labels"": {""py/id"": 17}}}",Response,_Response
{},7,2023-11-29 15:45:24,False,,,Response,1,headphone_trial,3,ModularPage,True,141.5.2.21,"{""time_taken"": 4.853, ""platform"": ""Chrome 119.0.0.0 on OS X 10.15.7 64-bit"", ""download_speed_megabits_per_sec"": 10, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2023-11-29T15:45:19.679Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2023-11-29T15:45:20.129Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2023-11-29T15:45:20.129Z"", ""info"": null}, {""eventType"": ""promptStart"", ""localTime"": ""2023-11-29T15:45:20.140Z"", ""info"": null}, {""eventType"": ""audioFinished: prompt"", ""localTime"": ""2023-11-29T15:45:24.147Z"", ""info"": null}, {""eventType"": ""promptEnd"", ""localTime"": ""2023-11-29T15:45:24.147Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2023-11-29T15:45:24.147Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2023-11-29T15:45:24.148Z"", ""info"": null}, {""eventType"": ""trialFinish"", ""localTime"": ""2023-11-29T15:45:24.148Z"", ""info"": null}, {""eventType"": ""trialFinished"", ""localTime"": ""2023-11-29T15:45:24.148Z"", ""info"": null}, {""eventType"": ""pushButtonClicked"", ""localTime"": ""2023-11-29T15:45:24.503Z"", ""info"": {""buttonId"": ""3""}}], ""prompt"": {""text"": ""Which sound was softest (quietest) -- 1, 2, or 3?"", ""url"": ""https://s3.amazonaws.com/headphone-check/antiphase/antiphase_HC_IOS.wav"", ""play_window"": [null, null]}, ""control"": {""choices"": [""1"", ""2"", ""3""], ""labels"": {""py/id"": 17}}}",Response,_Response
{},8,2023-11-29 15:45:30,False,,,Response,1,headphone_trial,3,ModularPage,True,141.5.2.21,"{""time_taken"": 5.141, ""platform"": ""Chrome 119.0.0.0 on OS X 10.15.7 64-bit"", ""download_speed_megabits_per_sec"": 10, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2023-11-29T15:45:25.300Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2023-11-29T15:45:26.073Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2023-11-29T15:45:26.073Z"", ""info"": null}, {""eventType"": ""promptStart"", ""localTime"": ""2023-11-29T15:45:26.083Z"", ""info"": null}, {""eventType"": ""audioFinished: prompt"", ""localTime"": ""2023-11-29T15:45:30.092Z"", ""info"": null}, {""eventType"": ""promptEnd"", ""localTime"": ""2023-11-29T15:45:30.092Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2023-11-29T15:45:30.093Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2023-11-29T15:45:30.093Z"", ""info"": null}, {""eventType"": ""trialFinish"", ""localTime"": ""2023-11-29T15:45:30.093Z"", ""info"": null}, {""eventType"": ""trialFinished"", ""localTime"": ""2023-11-29T15:45:30.095Z"", ""info"": null}, {""eventType"": ""pushButtonClicked"", ""localTime"": ""2023-11-29T15:45:30.413Z"", ""info"": {""buttonId"": ""3""}}], ""prompt"": {""text"": ""Which sound was softest (quietest) -- 1, 2, or 3?"", ""url"": ""https://s3.amazonaws.com/headphone-check/antiphase/antiphase_HC_OIS.wav"", ""play_window"": [null, null]}, ""control"": {""choices"": [""1"", ""2"", ""3""], ""labels"": {""py/id"": 17}}}",Response,_Response
{},9,2023-11-29 15:45:36,False,,,Response,1,headphone_trial,1,ModularPage,True,141.5.2.21,"{""time_taken"": 4.924, ""platform"": ""Chrome 119.0.0.0 on OS X 10.15.7 64-bit"", ""download_speed_megabits_per_sec"": 10, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2023-11-29T15:45:31.246Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2023-11-29T15:45:31.683Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2023-11-29T15:45:31.683Z"", ""info"": null}, {""eventType"": ""promptStart"", ""localTime"": ""2023-11-29T15:45:31.694Z"", ""info"": null}, {""eventType"": ""audioFinished: prompt"", ""localTime"": ""2023-11-29T15:45:35.701Z"", ""info"": null}, {""eventType"": ""promptEnd"", ""localTime"": ""2023-11-29T15:45:35.701Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2023-11-29T15:45:35.701Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2023-11-29T15:45:35.702Z"", ""info"": null}, {""eventType"": ""trialFinish"", ""localTime"": ""2023-11-29T15:45:35.702Z"", ""info"": null}, {""eventType"": ""trialFinished"", ""localTime"": ""2023-11-29T15:45:35.702Z"", ""info"": null}, {""eventType"": ""pushButtonClicked"", ""localTime"": ""2023-11-29T15:45:36.141Z"", ""info"": {""buttonId"": ""1""}}], ""prompt"": {""text"": ""Which sound was softest (quietest) -- 1, 2, or 3?"", ""url"": ""https://s3.amazonaws.com/headphone-check/antiphase/antiphase_HC_SIO.wav"", ""play_window"": [null, null]}, ""control"": {""choices"": [""1"", ""2"", ""3""], ""labels"": {""py/id"": 17}}}",Response,_Response
{},10,2023-11-29 15:45:41,False,,,Response,1,headphone_trial,2,ModularPage,True,141.5.2.21,"{""time_taken"": 4.827, ""platform"": ""Chrome 119.0.0.0 on OS X 10.15.7 64-bit"", ""download_speed_megabits_per_sec"": 10, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2023-11-29T15:45:37.100Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2023-11-29T15:45:37.535Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2023-11-29T15:45:37.535Z"", ""info"": null}, {""eventType"": ""promptStart"", ""localTime"": ""2023-11-29T15:45:37.545Z"", ""info"": null}, {""eventType"": ""audioFinished: prompt"", ""localTime"": ""2023-11-29T15:45:41.557Z"", ""info"": null}, {""eventType"": ""promptEnd"", ""localTime"": ""2023-11-29T15:45:41.557Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2023-11-29T15:45:41.557Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2023-11-29T15:45:41.557Z"", ""info"": null}, {""eventType"": ""trialFinish"", ""localTime"": ""2023-11-29T15:45:41.557Z"", ""info"": null}, {""eventType"": ""trialFinished"", ""localTime"": ""2023-11-29T15:45:41.559Z"", ""info"": null}, {""eventType"": ""pushButtonClicked"", ""localTime"": ""2023-11-29T15:45:41.899Z"", ""info"": {""buttonId"": ""2""}}], ""prompt"": {""text"": ""Which sound was softest (quietest) -- 1, 2, or 3?"", ""url"": ""https://s3.amazonaws.com/headphone-check/antiphase/antiphase_HC_ISO.wav"", ""play_window"": [null, null]}, ""control"": {""choices"": [""1"", ""2"", ""3""], ""labels"": {""py/id"": 17}}}",Response,_Response
